frame,x,y,confidence
53271,,,
53272,,,
53273,,,
53274,795,452,0.993469
53275,793,451,0.990000
53276,792,450,0.990193
53277,,,
53278,,,
53279,,,
53280,,,
53281,,,
53282,,,
53283,,,
53284,,,
53285,,,
53286,,,
53287,,,
53288,,,
53289,,,
53290,,,
53291,775,443,0.851033
53292,771,442,0.861499
53293,770,442,0.846374
53294,768,442,0.874242
53295,766,442,0.822165
53296,766,441,0.666890
53297,731,442,0.699225
53298,730,424,0.742017
53299,761,439,0.869301
53300,761,440,0.857341
53301,761,440,0.844114
53302,759,442,0.892872
53303,756,440,0.901565
53304,,,
53305,,,
53306,,,
53307,,,
53308,,,
53309,,,
53310,,,
53311,,,
53312,,,
53313,,,
53314,,,
53315,,,
53316,,,
53317,,,
53318,,,
53319,,,
53320,,,
53321,,,
53322,868,51,0.474687
53323,868,51,0.467825
53324,868,51,0.478604
53325,868,51,0.499916
53326,868,51,0.529768
53327,868,51,0.526249
53328,868,51,0.529031
53329,868,51,0.550280
53330,868,51,0.550461
53331,868,51,0.548564
53332,868,51,0.555670
53333,868,51,0.534454
53334,868,51,0.540220
53335,868,51,0.538315
53336,868,51,0.555351
53337,868,51,0.516701
53338,868,51,0.585558
53339,868,51,0.592123
53340,868,51,0.592306
53341,868,51,0.561511
53342,868,51,0.554098
53343,868,51,0.551390
53344,868,51,0.552759
53345,868,51,0.548998
53346,868,51,0.538707
53347,868,51,0.515571
53348,868,51,0.496458
53349,868,51,0.506176
53350,868,51,0.500392
53351,868,51,0.517712
53352,868,51,0.508912
53353,868,51,0.504036
53354,868,51,0.501739
53355,,,
53356,,,
53357,,,
53358,,,
53359,,,
53360,,,
53361,,,
53362,,,
53363,,,
53364,,,
53365,,,
53366,,,
53367,,,
53368,,,
53369,,,
53370,,,
53371,,,
53372,,,
53373,260,386,0.997573
53374,260,386,0.997387
53375,260,386,0.997600
53376,260,386,0.997545
53377,260,386,0.997536
53378,260,386,0.997317
53379,260,386,0.997150
53380,260,386,0.997101
53381,260,386,0.996987
53382,260,386,0.997581
53383,260,384,0.997080
53384,260,384,0.996880
53385,261,384,0.996714
53386,261,384,0.997087
53387,261,384,0.997252
53388,262,384,0.997457
53389,262,384,0.997161
53390,262,384,0.996733
53391,261,384,0.996800
53392,261,384,0.996903
53393,262,384,0.996226
53394,262,384,0.996349
53395,262,384,0.996194
53396,262,384,0.996399
53397,262,384,0.996077
53398,262,384,0.996889
53399,262,384,0.996443
53400,262,384,0.996175
53401,262,384,0.996250
53402,262,384,0.996295
53403,262,384,0.996170
53404,263,384,0.996214
53405,263,384,0.996380
53406,263,384,0.995830
53407,263,384,0.995683
53408,263,384,0.995736
53409,263,383,0.995934
53410,263,383,0.995713
53411,263,384,0.996110
53412,263,384,0.995933
53413,263,384,0.996013
53414,264,384,0.995978
53415,264,384,0.996039
53416,,,
53417,,,
53418,,,
53419,,,
53420,,,
53421,,,
53422,,,
53423,,,
53424,,,
53425,,,
53426,,,
53427,,,
53428,,,
53429,,,
53430,,,
53431,,,
53432,,,
53433,,,
53434,868,51,0.468076
53435,868,51,0.461774
53436,868,51,0.466462
53437,868,51,0.436412
53438,868,51,0.445540
53439,868,51,0.440311
53440,868,51,0.438465
53441,868,51,0.438310
53442,868,51,0.433143
53443,868,51,0.449218
53444,868,51,0.460062
53445,868,51,0.506259
53446,868,51,0.490509
53447,868,51,0.512304
53448,868,51,0.488377
53449,868,51,0.499176
53450,868,51,0.510092
53451,868,51,0.520137
53452,868,51,0.556493
53453,868,51,0.559498
53454,868,51,0.571003
